Date,Old Testament,New Testament,Psalm,Proverbs
1-Jan-2017,Genesis 1:1-2:3,Matthew 1:1-17,Psalm 1:1-5,Proverbs 1:1-6
2-Jan-2017,Genesis 2:4-25,Matthew 1:18-25,Psalm 1:6,Proverbs 1:7-9
3-Jan-2017,Genesis 3:1-24,Matthew 2:1-12,Psalm 2:1-6,Proverbs 1:10-19
4-Jan-2017,Genesis 4:1-26,Matthew 2:13-23,Psalm 2:7-12,Proverbs 1:20-23
5-Jan-2017,Genesis 5:1-32,Matthew 3:1-6,Psalm 3:1-5,Proverbs 1:24-28
6-Jan-2017,Genesis 6:1-22,Matthew 3:7-17,Psalm 3:6-8,Proverbs 1:29-33
7-Jan-2017,Genesis 7:1-24,Matthew 4:1-11,Psalm 4:1-3,Proverbs 2:1-5
8-Jan-2017,Genesis 8:1-9:19,Matthew 4:12-22,Psalm 4:4-8,Proverbs 2:6-15
9-Jan-2017,Genesis 9:20-10:32,Matthew 4:23-25,Psalm 5:1-6,Proverbs 2:16-22
10-Jan-2017,Genesis 11:1-26,Matthew 5:1-12,Psalm 5:7-12,Proverbs 3:1-6
11-Jan-2017,Genesis 11:27-13:4,Matthew 5:13-26,Psalm 6:1-5,Proverbs 3:7-8
12-Jan-2017,Genesis 13:5-14:16,Matthew 5:27-37,Psalm 6:6-10,Proverbs 3:9-10
13-Jan-2017,Genesis 14:17-15:21,Matthew 5:38-48,Psalm 7:1-9,Proverbs 3:11-12
14-Jan-2017,Genesis 16:1-17:14,Matthew 6:1-13,Psalm 7:10-17,Proverbs 3:13-15
15-Jan-2017,Genesis 17:15-18:15,Matthew 6:14-24,Psalm 8:1,Proverbs 3:16-18
16-Jan-2017,Genesis 18:16-19:26,Matthew 6:25-7:6,Psalm 8:2-9,Proverbs 3:19-20
17-Jan-2017,Genesis 19:27-38,Matthew 7:7-14,Psalm 9:1-8,Proverbs 3:21-26
18-Jan-2017,Genesis 20:1-21:21,Matthew 7:15-23,Psalm 9:9-12,Proverbs 3:27-32
19-Jan-2017,Genesis 21:22-22:24,Matthew 7:24-29,Psalm 9:13-18,Proverbs 3:33-35
20-Jan-2017,Genesis 23:1-20,Matthew 8:1-4,Psalm 9:19-20,Proverbs 4:1-6
21-Jan-2017,Genesis 24:1-51,Matthew 8:5-17,Psalm 10:1-6,Proverbs 4:7-10
22-Jan-2017,Genesis 24:52-25:28,Matthew 8:18-27,Psalm 10:7-15,Proverbs 4:11-13
23-Jan-2017,Genesis 25:29-26:16,Matthew 8:28-34,Psalm 10:16,Proverbs 4:14-19
24-Jan-2017,Genesis 26:17-35,Matthew 9:1-8,Psalm 10:17-18,Proverbs 4:20-27
25-Jan-2017,Genesis 27:1-45,Matthew 9:9-17,Psalm 11:1-6,Proverbs 5:1-6
26-Jan-2017,Genesis 27:46-28:22,Matthew 9:18-26,Psalm 11:7,Proverbs 5:7-14
27-Jan-2017,Genesis 29:1-35,Matthew 9:27-38,Psalm 12:1-5,Proverbs 5:15-21
28-Jan-2017,Genesis 30:1-24,Matthew 10:1-4,Psalm 12:6-8,Proverbs 5:22-23
29-Jan-2017,Genesis 30:25-31:16,Matthew 10:5-23,Psalm 13:1-4,Proverbs 6:1-5
30-Jan-2017,Genesis 31:17-55,Matthew 10:24-39,Psalm 13:5-6,Proverbs 6:6-11
31-Jan-2017,Genesis 32:1-12,Matthew 10:40-11:6,Psalm 14:1-6,Proverbs 6:12-15
1-Feb-2017,Genesis 32:13-33:20,Matthew 11:7-19,Psalm 14:7,Proverbs 6:16-19
2-Feb-2017,Genesis 34:1-31,Matthew 11:20-30,Psalm 15:1-5,Proverbs 6:20-26
3-Feb-2017,Genesis 35:1-36:8,Matthew 12:1-8,Psalm 16:1-4,Proverbs 6:27-35
4-Feb-2017,Genesis 36:9-43,Matthew 12:9-21,Psalm 16:5-8,Proverbs 7:1-5
5-Feb-2017,Genesis 37:1-36,Matthew 12:22-32,Psalm 16:9-11,Proverbs 7:6-23
6-Feb-2017,Genesis 38:1-30,Matthew 12:33-45,Psalm 17:1-5,Proverbs 7:24-27
7-Feb-2017,Genesis 39:1-23,Matthew 12:46-13:9,Psalm 17:6-15,Proverbs 8:1-11
8-Feb-2017,Genesis 40:1-41:16,Matthew 13:10-23,Psalm 18:1-3,Proverbs 8:12-13
9-Feb-2017,Genesis 41:17-52,Matthew 13:24-33,Psalm 18:4-15,Proverbs 8:14-26
10-Feb-2017,Genesis 41:53-42:17,Matthew 13:34-46,Psalm 18:16-24,Proverbs 8:27-32
11-Feb-2017,Genesis 42:18-38,Matthew 13:47-58,Psalm 18:25-36,Proverbs 8:33-36
12-Feb-2017,Genesis 43:1-34,Matthew 14:1-12,Psalm 18:37-45,Proverbs 9:1-6
13-Feb-2017,Genesis 44:1-45:15,Matthew 14:13-21,Psalm 18:46-50,Proverbs 9:7-8
14-Feb-2017,Genesis 45:16-46:7,Matthew 14:22-36,Psalm 19:1-6,Proverbs 9:9-10
15-Feb-2017,Genesis 46:8-47:12,Matthew 15:1-14,Psalm 19:7-14,Proverbs 9:11-12
16-Feb-2017,Genesis 47:13-31,Matthew 15:15-28,Psalm 20:1-6,Proverbs 9:13-18
17-Feb-2017,Genesis 48:1-22,Matthew 15:29-39,Psalm 20:7-9,Proverbs 10:1-2
18-Feb-2017,Genesis 49:1-33,Matthew 16:1-12,Psalm 21:1-7,Proverbs 10:3-4
19-Feb-2017,Genesis 50:1-26,Matthew 16:13-20,Psalm 21:8-13,Proverbs 10:5
20-Feb-2017,Exodus 1:1-2:10,Matthew 16:21-17:9,Psalm 22:1-18,Proverbs 10:6-7
21-Feb-2017,Exodus 2:11-22,Matthew 17:10-21,Psalm 22:19-24,Proverbs 10:8-9
22-Feb-2017,Exodus 2:23-3:22,Matthew 17:22-27,Psalm 22:25-26,Proverbs 10:10
23-Feb-2017,Exodus 4:1-26,Matthew 18:1-14,Psalm 22:27-31,Proverbs 10:11-12
24-Feb-2017,Exodus 4:27-5:21,Matthew 18:15-22,Psalm 23:1-6,Proverbs 10:13-14
25-Feb-2017,Exodus 5:22-6:30,Matthew 18:23-35,Psalm 24:1-2,Proverbs 10:15-16
26-Feb-2017,Exodus 7:1-25,Matthew 19:1-12,Psalm 24:3-6,Proverbs 10:17
27-Feb-2017,Exodus 8:1-32,Matthew 19:13-15,Psalm 24:7-10,Proverbs 10:18
28-Feb-2017,Exodus 9:1-35,Matthew 19:16-30,Psalm 25:1-7,Proverbs 10:19
1-Mar-2017,Exodus 10:1-29,Matthew 20:1-16,Psalm 25:8-15,Proverbs 10:20-21
2-Mar-2017,Exodus 11:1-12:13,Matthew 20:17-28,Psalm 25:16-22,Proverbs 10:22
3-Mar-2017,Exodus 12:14-39,Matthew 20:29-21:11,Psalm 26:1-8,Proverbs 10:23
4-Mar-2017,Exodus 12:40-13:16,Matthew 21:12-22,Psalm 26:9-12,Proverbs 10:24-25
5-Mar-2017,Exodus 13:17-14:31,Matthew 21:23-32,Psalm 27:1,Proverbs 10:26
6-Mar-2017,Exodus 15:1-18,Matthew 21:33-46,Psalm 27:2-3,Proverbs 10:27-28
7-Mar-2017,Exodus 15:19-16:18,Matthew 22:1-22,Psalm 27:4-6,Proverbs 10:29-30
8-Mar-2017,Exodus 16:19-17:16,Matthew 22:23-33,Psalm 27:7-10,Proverbs 10:31-32
9-Mar-2017,Exodus 18:1-12,Matthew 22:34-46,Psalm 27:11-14,Proverbs 11:1-3
10-Mar-2017,Exodus 18:13-19:15,Matthew 23:1-12,Psalm 28:1-5,Proverbs 11:4
11-Mar-2017,Exodus 19:16-20:26,Matthew 23:13-26,Psalm 28:6-9,Proverbs 11:5-6
12-Mar-2017,Exodus 21:1-21,Matthew 23:27-39,Psalm 29:1-2,Proverbs 11:7
13-Mar-2017,Exodus 21:22-22:13,Matthew 24:1-14,Psalm 29:3-11,Proverbs 11:8
14-Mar-2017,Exodus 22:14-23:13,Matthew 24:15-28,Psalm 30:1-3,Proverbs 11:9-11
15-Mar-2017,Exodus 23:14-24:2,Matthew 24:29-36,Psalm 30:4-12,Proverbs 11:12-13
16-Mar-2017,Exodus 24:3-25:30,Matthew 24:37-51,Psalm 31:1-2,Proverbs 11:14
17-Mar-2017,Exodus 25:31-26:29,Matthew 25:1-13,Psalm 31:3-8,Proverbs 11:15
18-Mar-2017,Exodus 26:30-27:21,Matthew 25:14-30,Psalm 31:9-18,Proverbs 11:16-17
19-Mar-2017,Exodus 28:1-14,Matthew 25:31-46,Psalm 31:19-20,Proverbs 11:18-19
20-Mar-2017,Exodus 28:15-43,Matthew 26:1-13,Psalm 31:21-22,Proverbs 11:20-21
21-Mar-2017,Exodus 29:1-28,Matthew 26:14-25,Psalm 31:23-24,Proverbs 11:22
22-Mar-2017,Exodus 29:29-30:10,Matthew 26:26-46,Psalm 32:1-7,Proverbs 11:23
23-Mar-2017,Exodus 30:11-38,Matthew 26:47-56,Psalm 32:8-11,Proverbs 11:24-26
24-Mar-2017,Exodus 31:1-18,Matthew 26:57-68,Psalm 33:1-5,Proverbs 11:27
25-Mar-2017,Exodus 32:1-30,Matthew 26:69-75,Psalm 33:6-11,Proverbs 11:28
26-Mar-2017,Exodus 32:31-33:23,Matthew 27:1-14,Psalm 33:12-19,Proverbs 11:29-31
27-Mar-2017,Exodus 34:1-14,Matthew 27:15-26,Psalm 33:20-22,Proverbs 12:1
28-Mar-2017,Exodus 34:15-35:9,Matthew 27:27-31,Psalm 34:1-3,Proverbs 12:2-3
29-Mar-2017,Exodus 35:10-36:7,Matthew 27:32-53,Psalm 34:4-10,Proverbs 12:4
30-Mar-2017,Exodus 36:8-38,Matthew 27:54-66,Psalm 34:11-14,Proverbs 12:5-7
31-Mar-2017,Exodus 37:1-38:8,Matthew 28:1-10,Psalm 34:15-22,Proverbs 12:8-9
1-Apr-2017,Exodus 38:9-31,Matthew 28:11-20,Psalm 35:1-9,Proverbs 12:10
2-Apr-2017,Exodus 39:1-43,Mark 1:1-15,Psalm 35:10-18,Proverbs 12:11
3-Apr-2017,Exodus 40:1-38,Mark 1:16-28,Psalm 35:19-28,Proverbs 12:12-14
4-Apr-2017,Leviticus 1:1-17,Mark 1:29-45,Psalm 36:1-5,Proverbs 12:15-17
5-Apr-2017,Leviticus 2:1-3:17,Mark 2:1-12,Psalm 36:6-9,Proverbs 12:18
6-Apr-2017,Leviticus 4:1-26,Mark 2:13-22,Psalm 36:10-12,Proverbs 12:19-20
7-Apr-2017,Leviticus 4:27-5:19,Mark 2:23-3:6,Psalm 37:1-6,Proverbs 12:21-23
8-Apr-2017,Leviticus 6:1-23,Mark 3:7-19,Psalm 37:7-11,Proverbs 12:24
9-Apr-2017,Leviticus 6:24-7:27,Mark 3:20-30,Psalm 37:12-20,Proverbs 12:25
10-Apr-2017,Leviticus 7:28-8:17,Mark 3:31-4:9,Psalm 37:21-29,Proverbs 12:26
11-Apr-2017,Leviticus 8:18-9:6,Mark 4:10-25,Psalm 37:30-33,Proverbs 12:27-28
12-Apr-2017,Leviticus 9:7-24,Mark 4:26-41,Psalm 37:34-40,Proverbs 13:1
13-Apr-2017,Leviticus 10:1-20,Mark 5:1-20,Psalm 38:1-18,Proverbs 13:2-3
14-Apr-2017,Leviticus 11:1-47,Mark 5:21-34,Psalm 38:19-22,Proverbs 13:4
15-Apr-2017,Leviticus 12:1-8,Mark 5:35-43,Psalm 39:1-5,Proverbs 13:5-6
16-Apr-2017,Leviticus 13:1-23,Mark 6:1-15,Psalm 39:6-13,Proverbs 13:7-8
17-Apr-2017,Leviticus 13:24-59,Mark 6:16-29,Psalm 40:1-3,Proverbs 13:9-10
18-Apr-2017,Leviticus 14:1-32,Mark 6:30-44,Psalm 40:4-10,Proverbs 13:11
19-Apr-2017,Leviticus 14:33-57,Mark 6:45-56,Psalm 40:11-13,Proverbs 13:12-14
20-Apr-2017,Leviticus 15:1-33,Mark 7:1-8,Psalm 40:14-17,Proverbs 13:15-16
21-Apr-2017,Leviticus 16:1-28,Mark 7:9-23,Psalm 41:1-3,Proverbs 13:17-19
22-Apr-2017,Leviticus 16:29-17:16,Mark 7:24-8:10,Psalm 41:4-13,Proverbs 13:20-23
23-Apr-2017,Leviticus 18:1-30,Mark 8:11-26,Psalm 42:1-8,Proverbs 13:24-25
24-Apr-2017,Leviticus 19:1-34,Mark 8:27-38,Psalm 42:9-11,Proverbs 14:1-2
25-Apr-2017,Leviticus 19:35-20:21,Mark 9:1-13,Psalm 43:1-4,Proverbs 14:3-4
26-Apr-2017,Leviticus 20:22-21:24,Mark 9:14-29,Psalm 43:5,Proverbs 14:5-6
27-Apr-2017,Leviticus 22:1-16,Mark 9:30-37,Psalm 44:1-3,Proverbs 14:7-8
28-Apr-2017,Leviticus 22:17-23:21,Mark 9:38-50,Psalm 44:4-8,Proverbs 14:9-10
29-Apr-2017,Leviticus 23:22-44,Mark 10:1-12,Psalm 44:9-22,Proverbs 14:11-12
30-Apr-2017,Leviticus 24:1-25:13,Mark 10:13-16,Psalm 44:23-26,Proverbs 14:13-14
1-May-2017,Leviticus 25:14-46,Mark 10:17-31,Psalm 45:1-6,Proverbs 14:15-16
2-May-2017,Leviticus 25:47-26:13,Mark 10:32-45,Psalm 45:7-17,Proverbs 14:17-19
3-May-2017,Leviticus 26:14-46,Mark 10:46-52,Psalm 46:1-7,Proverbs 14:20-21
4-May-2017,Leviticus 27:1-34,Mark 11:1-11,Psalm 46:8-11,Proverbs 14:22-24
5-May-2017,Numbers 1:1-54,Mark 11:12-25,Psalm 47:1-7,Proverbs 14:25
6-May-2017,Numbers 2:1-3:10,Mark 11:27-33,Psalm 47:8-9,Proverbs 14:26-27
7-May-2017,Numbers 3:11-51,Mark 12:1-17,Psalm 48:1-8,Proverbs 14:28-29
8-May-2017,Numbers 4:1-49,Mark 12:18-34,Psalm 48:9-14,Proverbs 14:30-31
9-May-2017,Numbers 5:1-31,Mark 12:35-37,Psalm 49:1-9,Proverbs 14:32-33
10-May-2017,Numbers 6:1-7:9,Mark 12:38-44,Psalm 49:10-20,Proverbs 14:34-35
11-May-2017,Numbers 7:10-89,Mark 13:1-13,Psalm 50:1-6,Proverbs 15:1-3
12-May-2017,Numbers 8:1-9:3,Mark 13:14-27,Psalm 50:7-23,Proverbs 15:4
13-May-2017,Numbers 9:4-23,Mark 13:28-37,Psalm 51:1-9,Proverbs 15:5-7
14-May-2017,Numbers 10:1-36,Mark 14:1-11,Psalm 51:10-19,Proverbs 15:8-10
15-May-2017,Numbers 11:1-23,Mark 14:12-21,Psalm 52:1-7,Proverbs 15:11
16-May-2017,Numbers 11:24-12:16,Mark 14:22-31,Psalm 52:8-9,Proverbs 15:12-14
17-May-2017,Numbers 13:1-33,Mark 14:32-52,Psalm 53:1-5,Proverbs 15:15-17
18-May-2017,Numbers 14:1-25,Mark 14:53-65,Psalm 53:6,Proverbs 15:18-19
19-May-2017,Numbers 14:26-15:16,Mark 14:66-72,Psalm 54:1-4,Proverbs 15:20-21
20-May-2017,Numbers 15:17-41,Mark 15:1-24,Psalm 54:5-7,Proverbs 15:22-23
21-May-2017,Numbers 16:1-40,Mark 15:25-32,Psalm 55:1-11,Proverbs 15:24-26
22-May-2017,Numbers 16:41-18:7,Mark 15:33-47,Psalm 55:12-23,Proverbs 15:27-28
23-May-2017,Numbers 18:8-32,Mark 16:1-8,Psalm 56:1-9,Proverbs 15:29-30
24-May-2017,Numbers 19:1-22,Mark 16:9-20,Psalm 56:10-13,Proverbs 15:31-32
25-May-2017,Numbers 20:1-29,Luke 1:1-7,Psalm 57:1-3,Proverbs 15:33
26-May-2017,Numbers 21:1-30,Luke 1:8-25,Psalm 57:4-11,Proverbs 16:1-3
27-May-2017,Numbers 21:31-22:20,Luke 1:26-38,Psalm 58:1-9,Proverbs 16:4-5
28-May-2017,Numbers 22:21-41,Luke 1:39-56,Psalm 58:10-11,Proverbs 16:6-7
29-May-2017,Numbers 23:1-30,Luke 1:57-66,Psalm 59:1-13,Proverbs 16:8-9
30-May-2017,Numbers 24:1-25,Luke 1:67-80,Psalm 59:14-17,Proverbs 16:10-11
31-May-2017,Numbers 25:1-18,Luke 2:1-20,Psalm 60:1-5,Proverbs 16:12-13
1-Jun-2017,Numbers 26:1-37,Luke 2:21-35,Psalm 60:6-12,Proverbs 16:14-15
2-Jun-2017,Numbers 26:38-51,Luke 2:36-40,Psalm 61:1-3,Proverbs 16:16-17
3-Jun-2017,Numbers 26:52-27:11,Luke 2:41-52,Psalm 61:4-8,Proverbs 16:18
4-Jun-2017,Numbers 27:12-28:15,Luke 3:1-14,Psalm 62:1-8,Proverbs 16:19-20
5-Jun-2017,Numbers 28:16-29:11,Luke 3:15-22,Psalm 62:9-12,Proverbs 16:21-23
6-Jun-2017,Numbers 29:12-40,Luke 3:23-28,Psalm 63:1-5,Proverbs 16:24
7-Jun-2017,Numbers 30:1-31:24,Luke 3:29-4:13,Psalm 63:6-11,Proverbs 16:25
8-Jun-2017,Numbers 31:25-54,Luke 4:14-30,Psalm 64:1-9,Proverbs 16:26-27
9-Jun-2017,Numbers 32:1-42,Luke 4:31-44,Psalm 64:10,Proverbs 16:28-30
10-Jun-2017,Numbers 33:1-39,Luke 5:1-11,Psalm 65:1-4,Proverbs 16:31-33
11-Jun-2017,Numbers 33:40-34:29,Luke 5:12-16,Psalm 65:5-13,Proverbs 17:1
12-Jun-2017,Numbers 35:1-34,Luke 5:17-28,Psalm 66:1-7,Proverbs 17:2-3
13-Jun-2017,Numbers 36:1-13,Luke 5:29-39,Psalm 66:8-20,Proverbs 17:4-5
14-Jun-2017,Deuteronomy 1:1-46,Luke 6:1-11,Psalm 67:1-3,Proverbs 17:6
15-Jun-2017,Deuteronomy 2:1-37,Luke 6:12-19,Psalm 67:4-7,Proverbs 17:7-8
16-Jun-2017,Deuteronomy 3:1-29,Luke 6:20-38,Psalm 68:1-6,Proverbs 17:9-11
17-Jun-2017,Deuteronomy 4:1-20,Luke 6:39-49,Psalm 68:7-18,Proverbs 17:12-13
18-Jun-2017,Deuteronomy 4:21-29,Luke 7:1-10,Psalm 68:19-31,Proverbs 17:14-15
19-Jun-2017,Deuteronomy 5:1-31,Luke 7:11-23,Psalm 68:32-35,Proverbs 17:16
20-Jun-2017,Deuteronomy 5:32-6:25,Luke 7:24-35,Psalm 69:1-13,Proverbs 17:17-18
21-Jun-2017,Deuteronomy 7:1-26,Luke 7:36-50,Psalm 69:14-18,Proverbs 17:19-21
22-Jun-2017,Deuteronomy 8:1-20,Luke 8:1-3,Psalm 69:19-31,Proverbs 17:22
23-Jun-2017,Deuteronomy 9:1-10:5,Luke 8:4-15,Psalm 69:32-36,Proverbs 17:23
24-Jun-2017,Deuteronomy 10:6-22,Luke 8:16-21,Psalm 70:1-5,Proverbs 17:24-25
25-Jun-2017,Deuteronomy 11:1-32,Luke 8:22-25,Psalm 71:1-6,Proverbs 17:26
26-Jun-2017,Deuteronomy 12:1-32,Luke 8:26-39,Psalm 71:7-16,Proverbs 17:27-28
27-Jun-2017,Deuteronomy 13:1-14:27,Luke 8:40-56,Psalm 71:17-24,Proverbs 18:1
28-Jun-2017,Deuteronomy 14:28-15:23,Luke 9:1-6,Psalm 72:1-14,Proverbs 18:2-3
29-Jun-2017,Deuteronomy 16:1-22,Luke 9:7-17,Psalm 72:15-20,Proverbs 18:4-5
30-Jun-2017,Deuteronomy 17:1-20,Luke 9:18-27,Psalm 73:1-20,Proverbs 18:6-7
1-Jul-2017,Deuteronomy 18:1-19:14,Luke 9:28-36,Psalm 73:21-28,Proverbs 18:8
2-Jul-2017,Deuteronomy 19:15-20:20,Luke 9:37-50,Psalm 74:1-11,Proverbs 18:9-10
3-Jul-2017,Deuteronomy 21:1-23,Luke 9:51-62,Psalm 74:12-23,Proverbs 18:11-12
4-Jul-2017,Deuteronomy 22:1-30,Luke 10:1-12,Psalm 75:1-5,Proverbs 18:13
